model,short_model,station,forecast_datetime_gmt,datetime,tz_offset,CIG,CLD,DPT,Max_Temperature,Min_Temperature,OBV,P06,P12,P24,POS,POZ,PRS,PSN,PZP,Q06,Q12,Q24,SNW,T06,T12,T24,TMP,TYP,VIS,WDR,WND,WSP
GFSX MOS GUIDANCE,GFSX,PHKO,2020-03-21 12:00:00,2020-03-27 00:00:00,+0000,,PC,62,83,69,,,5,8,,,,,,,0,0,,,,,81,,,,11,
GFSX MOS GUIDANCE,GFSX,PHKO,2020-03-21 12:00:00,2020-03-27 12:00:00,+0000,,PC,60,83,69,,,8,13,,,,,,,0,0,,,,,72,,,,11,
GFSX MOS GUIDANCE,GFSX,PHKO,2020-03-21 12:00:00,2020-03-28 00:00:00,+0000,,PC,63,82,70,,,7,13,,,,,,,0,0,,,,,81,,,,9,
GFSX MOS GUIDANCE,GFSX,PHKO,2020-03-21 12:00:00,2020-03-28 12:00:00,+0000,,PC,62,82,70,,,6,12,,,,,,,,,,,,,73,,,,10,
GFSX MOS GUIDANCE,GFSX,PHKO,2020-03-21 12:00:00,2020-03-29 00:00:00,+0000,,PC,63,83,69,,,9,12,,,,,,,,,,,,,81,,,,14,
GFSX MOS GUIDANCE,GFSX,PHKO,2020-03-21 12:00:00,2020-03-29 12:00:00,+0000,,PC,61,83,69,,,,,,,,,,,,,,,,,72,,,,15,
GFSX MOS GUIDANCE,GFSX,PHLI,2020-03-21 12:00:00,2020-03-22 12:00:00,+0000,,OV,68,,71,,,17,57,,,,,,,0,1,,,,,73,,,,11,
GFSX MOS GUIDANCE,GFSX,PHLI,2020-03-21 12:00:00,2020-03-23 00:00:00,+0000,,PC,67,79,72,,,37,57,,,,,,,0,1,,,,,77,,,,13,
GFSX MOS GUIDANCE,GFSX,PHLI,2020-03-21 12:00:00,2020-03-23 12:00:00,+0000,,PC,64,79,72,,,61,70,,,,,,,1,1,,,,,73,,,,15,
GFSX MOS GUIDANCE,GFSX,PHLI,2020-03-21 12:00:00,2020-03-24 00:00:00,+0000,,PC,62,78,70,,,45,70,,,,,,,1,1,,,,,76,,,,19,
GFSX MOS GUIDANCE,GFSX,PHLI,2020-03-21 12:00:00,2020-03-24 12:00:00,+0000,,OV,60,78,70,,,62,68,,,,,,,1,1,,,,,73,,,,19,
GFSX MOS GUIDANCE,GFSX,PHLI,2020-03-21 12:00:00,2020-03-25 00:00:00,+0000,,PC,62,79,72,,,51,68,,,,,,,1,1,,,,,77,,,,19,
GFSX MOS GUIDANCE,GFSX,PHLI,2020-03-21 12:00:00,2020-03-25 12:00:00,+0000,,PC,62,79,72,,,70,92,,,,,,,1,1,,,,,74,,,,22,
GFSX MOS GUIDANCE,GFSX,PHLI,2020-03-21 12:00:00,2020-03-26 00:00:00,+0000,,OV,62,78,69,,,46,92,,,,,,,1,1,,,,,76,,,,21,
GFSX MOS GUIDANCE,GFSX,PHLI,2020-03-21 12:00:00,2020-03-26 12:00:00,+0000,,OV,61,78,69,,,51,70,,,,,,,1,1,,,,,71,,,,21,
GFSX MOS GUIDANCE,GFSX,PHLI,2020-03-21 12:00:00,2020-03-27 00:00:00,+0000,,OV,61,78,69,,,41,70,,,,,,,1,1,,,,,77,,,,17,
GFSX MOS GUIDANCE,GFSX,PHLI,2020-03-21 12:00:00,2020-03-27 12:00:00,+0000,,OV,62,78,69,,,56,84,,,,,,,1,2,,,,,71,,,,17,
GFSX MOS GUIDANCE,GFSX,PHLI,2020-03-21 12:00:00,2020-03-28 00:00:00,+0000,,PC,64,78,67,,,44,84,,,,,,,1,2,,,,,76,,,,18,
GFSX MOS GUIDANCE,GFSX,PHLI,2020-03-21 12:00:00,2020-03-28 12:00:00,+0000,,OV,61,78,67,,,20,54,,,,,,,,,,,,,69,,,,18,
GFSX MOS GUIDANCE,GFSX,PHLI,2020-03-21 12:00:00,2020-03-29 00:00:00,+0000,,PC,60,77,65,,,27,54,,,,,,,,,,,,,75,,,,13,
GFSX MOS GUIDANCE,GFSX,PHLI,2020-03-21 12:00:00,2020-03-29 12:00:00,+0000,,OV,59,77,65,,,,,,,,,,,,,,,,,67,,,,13,
GFSX MOS GUIDANCE,GFSX,PHMK,2020-03-21 12:00:00,2020-03-22 12:00:00,+0000,,CL,64,,65,,,0,37,,,,,,,0,0,,,,,68,,,,12,
GFSX MOS GUIDANCE,GFSX,PHMK,2020-03-21 12:00:00,2020-03-23 00:00:00,+0000,,CL,65,77,67,,,26,37,,,,,,,0,0,,,,,75,,,,14,
GFSX MOS GUIDANCE,GFSX,PHMK,2020-03-21 12:00:00,2020-03-23 12:00:00,+0000,,PC,63,77,67,,,27,46,,,,,,,0,0,,,,,69,,,,14,
GFSX MOS GUIDANCE,GFSX,PHMK,2020-03-21 12:00:00,2020-03-24 00:00:00,+0000,,PC,61,76,66,,,28,46,,,,,,,0,0,,,,,75,,,,19,
GFSX MOS GUIDANCE,GFSX,PHMK,2020-03-21 12:00:00,2020-03-24 12:00:00,+0000,,CL,58,76,66,,,17,32,,,,,,,0,0,,,,,68,,,,19,
GFSX MOS GUIDANCE,GFSX,PHMK,2020-03-21 12:00:00,2020-03-25 00:00:00,+0000,,PC,59,77,67,,,31,32,,,,,,,0,0,,,,,75,,,,19,
GFSX MOS GUIDANCE,GFSX,PHMK,2020-03-21 12:00:00,2020-03-25 12:00:00,+0000,,CL,60,77,67,,,21,36,,,,,,,0,0,,,,,70,,,,19,
GFSX MOS GUIDANCE,GFSX,PHMK,2020-03-21 12:00:00,2020-03-26 00:00:00,+0000,,PC,61,76,66,,,38,36,,,,,,,0,0,,,,,74,,,,20,
GFSX MOS GUIDANCE,GFSX,PHMK,2020-03-21 12:00:00,2020-03-26 12:00:00,+0000,,CL,60,76,66,,,42,39,,,,,,,0,0,,,,,68,,,,20,
GFSX MOS GUIDANCE,GFSX,PHMK,2020-03-21 12:00:00,2020-03-27 00:00:00,+0000,,PC,61,77,63,,,41,39,,,,,,,1,0,,,,,75,,,,17,
GFSX MOS GUIDANCE,GFSX,PHMK,2020-03-21 12:00:00,2020-03-27 12:00:00,+0000,,PC,60,77,63,,,38,47,,,,,,,0,1,,,,,66,,,,17,
GFSX MOS GUIDANCE,GFSX,PHMK,2020-03-21 12:00:00,2020-03-28 00:00:00,+0000,,CL,63,76,64,,,39,47,,,,,,,1,1,,,,,74,,,,14,
GFSX MOS GUIDANCE,GFSX,PHMK,2020-03-21 12:00:00,2020-03-28 12:00:00,+0000,,CL,61,76,64,,,43,62,,,,,,,,,,,,,66,,,,14,
GFSX MOS GUIDANCE,GFSX,PHMK,2020-03-21 12:00:00,2020-03-29 00:00:00,+0000,,CL,63,76,64,,,24,62,,,,,,,,,,,,,74,,,,12,
GFSX MOS GUIDANCE,GFSX,PHMK,2020-03-21 12:00:00,2020-03-29 12:00:00,+0000,,PC,62,76,64,,,,,,,,,,,,,,,,,66,,,,14,
GFSX MOS GUIDANCE,GFSX,PHNG,2020-03-21 12:00:00,2020-03-22 12:00:00,+0000,,PC,65,,71,,,0,32,,,,,,,0,0,,,,,72,,,,8,
GFSX MOS GUIDANCE,GFSX,PHNG,2020-03-21 12:00:00,2020-03-23 00:00:00,+0000,,PC,64,79,71,,,15,32,,,,,,,0,0,,,,,78,,,,11,
GFSX MOS GUIDANCE,GFSX,PHNG,2020-03-21 12:00:00,2020-03-23 12:00:00,+0000,,PC,62,79,71,,,31,42,,,,,,,0,0,,,,,72,,,,11,
GFSX MOS GUIDANCE,GFSX,PHNG,2020-03-21 12:00:00,2020-03-24 00:00:00,+0000,,PC,60,78,70,,,22,42,,,,,,,0,0,,,,,77,,,,15,
GFSX MOS GUIDANCE,GFSX,PHNG,2020-03-21 12:00:00,2020-03-24 12:00:00,+0000,,PC,59,78,70,,,19,42,,,,,,,0,0,,,,,71,,,,15,
GFSX MOS GUIDANCE,GFSX,PHNG,2020-03-21 12:00:00,2020-03-25 00:00:00,+0000,,PC,59,78,71,,,21,42,,,,,,,0,0,,,,,77,,,,15,
GFSX MOS GUIDANCE,GFSX,PHNG,2020-03-21 12:00:00,2020-03-25 12:00:00,+0000,,PC,60,78,71,,,22,49,,,,,,,0,1,,,,,72,,,,16,
GFSX MOS GUIDANCE,GFSX,PHNG,2020-03-21 12:00:00,2020-03-26 00:00:00,+0000,,PC,60,77,70,,,28,49,,,,,,,0,1,,,,,76,,,,16,
GFSX MOS GUIDANCE,GFSX,PHNG,2020-03-21 12:00:00,2020-03-26 12:00:00,+0000,,PC,60,77,70,,,35,38,,,,,,,0,0,,,,,71,,,,15,
GFSX MOS GUIDANCE,GFSX,PHNG,2020-03-21 12:00:00,2020-03-27 00:00:00,+0000,,PC,61,78,70,,,27,38,,,,,,,0,0,,,,,77,,,,14,
GFSX MOS GUIDANCE,GFSX,PHNG,2020-03-21 12:00:00,2020-03-27 12:00:00,+0000,,PC,59,78,70,,,36,52,,,,,,,0,1,,,,,71,,,,13,
GFSX MOS GUIDANCE,GFSX,PHNG,2020-03-21 12:00:00,2020-03-28 00:00:00,+0000,,PC,62,79,68,,,37,52,,,,,,,0,1,,,,,78,,,,13,
GFSX MOS GUIDANCE,GFSX,PHNG,2020-03-21 12:00:00,2020-03-28 12:00:00,+0000,,PC,60,79,68,,,39,58,,,,,,,,,,,,,70,,,,13,
GFSX MOS GUIDANCE,GFSX,PHNG,2020-03-21 12:00:00,2020-03-29 00:00:00,+0000,,PC,61,79,68,,,25,58,,,,,,,,,,,,,77,,,,11,
GFSX MOS GUIDANCE,GFSX,PHNG,2020-03-21 12:00:00,2020-03-29 12:00:00,+0000,,PC,59,79,68,,,,,,,,,,,,,,,,,69,,,,11,
GFSX MOS GUIDANCE,GFSX,PHNL,2020-03-21 12:00:00,2020-03-22 12:00:00,+0000,,PC,63,,70,,,10,26,,,,,,,0,0,,,,,72,,,,11,
GFSX MOS GUIDANCE,GFSX,PHNL,2020-03-21 12:00:00,2020-03-23 00:00:00,+0000,,PC,61,82,70,,,18,26,,,,,,,0,0,,,,,80,,,,14,
GFSX MOS GUIDANCE,GFSX,PHNL,2020-03-21 12:00:00,2020-03-23 12:00:00,+0000,,PC,62,82,70,,,10,25,,,,,,,0,0,,,,,72,,,,14,
GFSX MOS GUIDANCE,GFSX,PHNL,2020-03-21 12:00:00,2020-03-24 00:00:00,+0000,,PC,58,80,70,,,14,25,,,,,,,0,0,,,,,79,,,,19,
GFSX MOS GUIDANCE,GFSX,PHNL,2020-03-21 12:00:00,2020-03-24 12:00:00,+0000,,PC,58,80,70,,,9,19,,,,,,,0,0,,,,,71,,,,19,
GFSX MOS GUIDANCE,GFSX,PHNL,2020-03-21 12:00:00,2020-03-25 00:00:00,+0000,,PC,57,81,71,,,17,19,,,,,,,0,0,,,,,80,,,,20,
GFSX MOS GUIDANCE,GFSX,PHNL,2020-03-21 12:00:00,2020-03-25 12:00:00,+0000,,PC,58,81,71,,,8,18,,,,,,,0,0,,,,,72,,,,20,
GFSX MOS GUIDANCE,GFSX,PHNL,2020-03-21 12:00:00,2020-03-26 00:00:00,+0000,,PC,58,81,69,,,17,18,,,,,,,0,0,,,,,80,,,,20,
GFSX MOS GUIDANCE,GFSX,PHNL,2020-03-21 12:00:00,2020-03-26 12:00:00,+0000,,PC,59,81,69,,,14,27,,,,,,,0,0,,,,,71,,,,19,
GFSX MOS GUIDANCE,GFSX,PHNL,2020-03-21 12:00:00,2020-03-27 00:00:00,+0000,,PC,58,80,68,,,15,27,,,,,,,0,0,,,,,78,,,,18,
GFSX MOS GUIDANCE,GFSX,PHNL,2020-03-21 12:00:00,2020-03-27 12:00:00,+0000,,PC,58,80,68,,,17,28,,,,,,,0,1,,,,,70,,,,18,
GFSX MOS GUIDANCE,GFSX,PHNL,2020-03-21 12:00:00,2020-03-28 00:00:00,+0000,,PC,59,81,67,,,18,28,,,,,,,0,1,,,,,79,,,,15,
GFSX MOS GUIDANCE,GFSX,PHNL,2020-03-21 12:00:00,2020-03-28 12:00:00,+0000,,PC,60,81,67,,,22,35,,,,,,,,,,,,,69,,,,15,
GFSX MOS GUIDANCE,GFSX,PHNL,2020-03-21 12:00:00,2020-03-29 00:00:00,+0000,,PC,59,80,65,,,18,35,,,,,,,,,,,,,78,,,,12,
GFSX MOS GUIDANCE,GFSX,PHNL,2020-03-21 12:00:00,2020-03-29 12:00:00,+0000,,PC,58,80,65,,,,,,,,,,,,,,,,,67,,,,12,
GFSX MOS GUIDANCE,GFSX,PHNY,2020-03-21 12:00:00,2020-03-22 12:00:00,+0000,,PC,63,,63,,,7,13,,,,,,,0,0,,,,,65,,,,16,
GFSX MOS GUIDANCE,GFSX,PHNY,2020-03-21 12:00:00,2020-03-23 00:00:00,+0000,,PC,63,79,63,,,11,13,,,,,,,0,0,,,,,76,,,,13,
GFSX MOS GUIDANCE,GFSX,PHNY,2020-03-21 12:00:00,2020-03-23 12:00:00,+0000,,PC,61,79,63,,,7,16,,,,,,,0,0,,,,,65,,,,18,
GFSX MOS GUIDANCE,GFSX,PHNY,2020-03-21 12:00:00,2020-03-24 00:00:00,+0000,,PC,60,78,61,,,9,16,,,,,,,0,0,,,,,76,,,,19,
GFSX MOS GUIDANCE,GFSX,PHNY,2020-03-21 12:00:00,2020-03-24 12:00:00,+0000,,PC,58,78,61,,,7,11,,,,,,,0,0,,,,,63,,,,22,
GFSX MOS GUIDANCE,GFSX,PHNY,2020-03-21 12:00:00,2020-03-25 00:00:00,+0000,,PC,58,76,62,,,8,11,,,,,,,0,0,,,,,73,,,,18,
GFSX MOS GUIDANCE,GFSX,PHNY,2020-03-21 12:00:00,2020-03-25 12:00:00,+0000,,PC,58,76,62,,,4,12,,,,,,,0,0,,,,,64,,,,23,
GFSX MOS GUIDANCE,GFSX,PHNY,2020-03-21 12:00:00,2020-03-26 00:00:00,+0000,,PC,59,77,62,,,10,12,,,,,,,0,0,,,,,75,,,,24,
GFSX MOS GUIDANCE,GFSX,PHNY,2020-03-21 12:00:00,2020-03-26 12:00:00,+0000,,PC,59,77,62,,,9,16,,,,,,,0,0,,,,,64,,,,24,
GFSX MOS GUIDANCE,GFSX,PHNY,2020-03-21 12:00:00,2020-03-27 00:00:00,+0000,,PC,59,78,62,,,10,16,,,,,,,0,0,,,,,75,,,,18,
GFSX MOS GUIDANCE,GFSX,PHNY,2020-03-21 12:00:00,2020-03-27 12:00:00,+0000,,PC,60,78,62,,,13,22,,,,,,,0,0,,,,,64,,,,17,
GFSX MOS GUIDANCE,GFSX,PHNY,2020-03-21 12:00:00,2020-03-28 00:00:00,+0000,,PC,61,79,62,,,14,22,,,,,,,0,0,,,,,76,,,,14,
GFSX MOS GUIDANCE,GFSX,PHNY,2020-03-21 12:00:00,2020-03-28 12:00:00,+0000,,PC,60,79,62,,,16,29,,,,,,,,,,,,,64,,,,15,
