model,short_model,station,forecast_datetime_gmt,datetime,tz_offset,CIG,CLD,DPT,Max_Temperature,Min_Temperature,OBV,P06,P12,P24,POS,POZ,PRS,PSN,PZP,Q06,Q12,Q24,SNW,T06,T12,T24,TMP,TYP,VIS,WDR,WND,WSP
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 12:00:00,2020-03-22 12:00:00,+0000,,OV,66,,68,,,29,57,,,,,,,0,1,,,,,71,,,,9,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 12:00:00,2020-03-23 00:00:00,+0000,,PC,67,81,66,,,22,57,,,,,,,0,1,,,,,80,,,,8,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 12:00:00,2020-03-23 12:00:00,+0000,,PC,60,81,66,,,61,60,,,,,,,1,1,,,,,68,,,,8,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 12:00:00,2020-03-24 00:00:00,+0000,,PC,61,81,64,,,39,60,,,,,,,0,1,,,,,78,,,,10,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 12:00:00,2020-03-24 12:00:00,+0000,,PC,55,81,64,,,55,67,,,,,,,1,1,,,,,68,,,,10,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 12:00:00,2020-03-25 00:00:00,+0000,,PC,58,81,64,,,38,67,,,,,,,0,1,,,,,79,,,,9,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 12:00:00,2020-03-25 12:00:00,+0000,,PC,57,81,64,,,73,87,,,,,,,1,1,,,,,67,,,,9,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 12:00:00,2020-03-26 00:00:00,+0000,,OV,60,81,64,,,42,87,,,,,,,1,1,,,,,79,,,,11,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 12:00:00,2020-03-26 12:00:00,+0000,,OV,55,81,64,,,48,68,,,,,,,1,1,,,,,67,,,,11,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 12:00:00,2020-03-27 00:00:00,+0000,,OV,59,80,64,,,33,68,,,,,,,0,1,,,,,79,,,,10,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 12:00:00,2020-03-27 12:00:00,+0000,,OV,58,80,64,,,54,83,,,,,,,1,1,,,,,67,,,,10,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 12:00:00,2020-03-28 00:00:00,+0000,,PC,60,80,63,,,39,83,,,,,,,1,1,,,,,78,,,,15,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 12:00:00,2020-03-28 12:00:00,+0000,,PC,56,80,63,,,18,56,,,,,,,,,,,,,66,,,,15,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 12:00:00,2020-03-29 00:00:00,+0000,,PC,59,79,64,,,26,56,,,,,,,,,,,,,77,,,,19,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 12:00:00,2020-03-29 12:00:00,+0000,,PC,56,79,64,,,,,,,,,,,,,,,,,67,,,,19,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 12:00:00,2020-03-22 12:00:00,+0000,,PC,63,,65,,,11,29,,,,,,,0,0,,,,,67,,,,7,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 12:00:00,2020-03-23 00:00:00,+0000,,PC,66,76,67,,,21,29,,,,,,,0,0,,,,,74,,,,11,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 12:00:00,2020-03-23 12:00:00,+0000,,PC,62,76,67,,,12,28,,,,,,,0,0,,,,,68,,,,11,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 12:00:00,2020-03-24 00:00:00,+0000,,PC,60,73,63,,,16,28,,,,,,,0,0,,,,,72,,,,15,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 12:00:00,2020-03-24 12:00:00,+0000,,PC,57,73,63,,,11,21,,,,,,,0,0,,,,,65,,,,15,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 12:00:00,2020-03-25 00:00:00,+0000,,PC,57,75,64,,,19,21,,,,,,,0,0,,,,,73,,,,15,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 12:00:00,2020-03-25 12:00:00,+0000,,PC,58,75,64,,,9,20,,,,,,,0,0,,,,,67,,,,15,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 12:00:00,2020-03-26 00:00:00,+0000,,PC,58,75,63,,,19,20,,,,,,,0,0,,,,,74,,,,15,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 12:00:00,2020-03-26 12:00:00,+0000,,PC,58,75,63,,,15,29,,,,,,,0,0,,,,,65,,,,14,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 12:00:00,2020-03-27 00:00:00,+0000,,PC,56,75,63,,,16,29,,,,,,,0,0,,,,,74,,,,15,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 12:00:00,2020-03-27 12:00:00,+0000,,PC,58,75,63,,,18,29,,,,,,,0,1,,,,,64,,,,15,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 12:00:00,2020-03-28 00:00:00,+0000,,PC,59,76,61,,,20,29,,,,,,,0,1,,,,,74,,,,13,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 12:00:00,2020-03-28 12:00:00,+0000,,PC,58,76,61,,,22,35,,,,,,,,,,,,,64,,,,13,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 12:00:00,2020-03-29 00:00:00,+0000,,PC,59,75,61,,,20,35,,,,,,,,,,,,,74,,,,10,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 12:00:00,2020-03-29 12:00:00,+0000,,PC,57,75,61,,,,,,,,,,,,,,,,,63,,,,11,
GFSX MOS GUIDANCE,GFSX,PHJH,2020-03-21 12:00:00,2020-03-22 12:00:00,+0000,,PC,,,,,,0,32,,,,,,,0,0,,,,,,,,,12,
GFSX MOS GUIDANCE,GFSX,PHJH,2020-03-21 12:00:00,2020-03-23 00:00:00,+0000,,PC,64,77,,,,23,32,,,,,,,0,0,,,,,75,,,,16,
GFSX MOS GUIDANCE,GFSX,PHJH,2020-03-21 12:00:00,2020-03-23 12:00:00,+0000,,PC,,77,,,,29,44,,,,,,,0,0,,,,,,,,,17,
GFSX MOS GUIDANCE,GFSX,PHJH,2020-03-21 12:00:00,2020-03-24 00:00:00,+0000,,PC,61,75,,,,26,44,,,,,,,0,0,,,,,74,,,,20,
GFSX MOS GUIDANCE,GFSX,PHJH,2020-03-21 12:00:00,2020-03-24 12:00:00,+0000,,PC,,75,,,,19,33,,,,,,,0,0,,,,,,,,,20,
GFSX MOS GUIDANCE,GFSX,PHJH,2020-03-21 12:00:00,2020-03-25 00:00:00,+0000,,PC,59,76,,,,29,33,,,,,,,0,0,,,,,75,,,,20,
GFSX MOS GUIDANCE,GFSX,PHJH,2020-03-21 12:00:00,2020-03-25 12:00:00,+0000,,PC,,76,,,,26,42,,,,,,,0,0,,,,,,,,,20,
GFSX MOS GUIDANCE,GFSX,PHJH,2020-03-21 12:00:00,2020-03-26 00:00:00,+0000,,PC,61,75,,,,33,42,,,,,,,0,0,,,,,74,,,,22,
GFSX MOS GUIDANCE,GFSX,PHJH,2020-03-21 12:00:00,2020-03-26 12:00:00,+0000,,PC,,75,,,,43,42,,,,,,,0,0,,,,,,,,,21,
GFSX MOS GUIDANCE,GFSX,PHJH,2020-03-21 12:00:00,2020-03-27 00:00:00,+0000,,PC,60,77,,,,35,42,,,,,,,0,0,,,,,76,,,,19,
GFSX MOS GUIDANCE,GFSX,PHJH,2020-03-21 12:00:00,2020-03-27 12:00:00,+0000,,PC,,77,,,,36,46,,,,,,,0,0,,,,,,,,,18,
GFSX MOS GUIDANCE,GFSX,PHJH,2020-03-21 12:00:00,2020-03-28 00:00:00,+0000,,PC,61,77,,,,28,46,,,,,,,0,0,,,,,76,,,,14,
GFSX MOS GUIDANCE,GFSX,PHJH,2020-03-21 12:00:00,2020-03-28 12:00:00,+0000,,PC,,77,,,,34,58,,,,,,,,,,,,,,,,,15,
GFSX MOS GUIDANCE,GFSX,PHJH,2020-03-21 12:00:00,2020-03-29 00:00:00,+0000,,PC,62,78,,,,26,58,,,,,,,,,,,,,76,,,,14,
GFSX MOS GUIDANCE,GFSX,PHJH,2020-03-21 12:00:00,2020-03-29 12:00:00,+0000,,PC,,78,,,,,,,,,,,,,,,,,,,,,,15,
GFSX MOS GUIDANCE,GFSX,PHJR,2020-03-21 12:00:00,2020-03-22 12:00:00,+0000,,CL,62,,67,,,11,26,,,,,,,0,0,,,,,69,,,,7,
GFSX MOS GUIDANCE,GFSX,PHJR,2020-03-21 12:00:00,2020-03-23 00:00:00,+0000,,CL,61,82,67,,,18,26,,,,,,,0,0,,,,,80,,,,8,
GFSX MOS GUIDANCE,GFSX,PHJR,2020-03-21 12:00:00,2020-03-23 12:00:00,+0000,,CL,61,82,67,,,9,25,,,,,,,0,0,,,,,70,,,,8,
GFSX MOS GUIDANCE,GFSX,PHJR,2020-03-21 12:00:00,2020-03-24 00:00:00,+0000,,PC,58,82,66,,,14,25,,,,,,,0,0,,,,,79,,,,11,
GFSX MOS GUIDANCE,GFSX,PHJR,2020-03-21 12:00:00,2020-03-24 12:00:00,+0000,,CL,57,82,66,,,9,18,,,,,,,0,0,,,,,69,,,,10,
GFSX MOS GUIDANCE,GFSX,PHJR,2020-03-21 12:00:00,2020-03-25 00:00:00,+0000,,PC,56,83,66,,,16,18,,,,,,,0,0,,,,,81,,,,13,
GFSX MOS GUIDANCE,GFSX,PHJR,2020-03-21 12:00:00,2020-03-25 12:00:00,+0000,,CL,58,83,66,,,7,18,,,,,,,0,0,,,,,69,,,,13,
GFSX MOS GUIDANCE,GFSX,PHJR,2020-03-21 12:00:00,2020-03-26 00:00:00,+0000,,PC,57,82,66,,,17,18,,,,,,,0,0,,,,,80,,,,12,
GFSX MOS GUIDANCE,GFSX,PHJR,2020-03-21 12:00:00,2020-03-26 12:00:00,+0000,,PC,59,82,66,,,14,27,,,,,,,0,0,,,,,69,,,,10,
GFSX MOS GUIDANCE,GFSX,PHJR,2020-03-21 12:00:00,2020-03-27 00:00:00,+0000,,PC,58,82,65,,,14,27,,,,,,,0,0,,,,,79,,,,10,
GFSX MOS GUIDANCE,GFSX,PHJR,2020-03-21 12:00:00,2020-03-27 12:00:00,+0000,,PC,58,82,65,,,17,27,,,,,,,0,0,,,,,67,,,,10,
GFSX MOS GUIDANCE,GFSX,PHJR,2020-03-21 12:00:00,2020-03-28 00:00:00,+0000,,PC,61,81,65,,,18,27,,,,,,,0,0,,,,,79,,,,11,
GFSX MOS GUIDANCE,GFSX,PHJR,2020-03-21 12:00:00,2020-03-28 12:00:00,+0000,,PC,59,81,65,,,21,34,,,,,,,,,,,,,67,,,,10,
GFSX MOS GUIDANCE,GFSX,PHJR,2020-03-21 12:00:00,2020-03-29 00:00:00,+0000,,CL,58,80,64,,,17,34,,,,,,,,,,,,,78,,,,9,
GFSX MOS GUIDANCE,GFSX,PHJR,2020-03-21 12:00:00,2020-03-29 12:00:00,+0000,,PC,58,80,64,,,,,,,,,,,,,,,,,66,,,,10,
GFSX MOS GUIDANCE,GFSX,PHKO,2020-03-21 12:00:00,2020-03-22 12:00:00,+0000,,PC,64,,71,,,9,13,,,,,,,0,0,,,,,74,,,,11,
GFSX MOS GUIDANCE,GFSX,PHKO,2020-03-21 12:00:00,2020-03-23 00:00:00,+0000,,PC,64,82,70,,,7,13,,,,,,,0,0,,,,,80,,,,10,
GFSX MOS GUIDANCE,GFSX,PHKO,2020-03-21 12:00:00,2020-03-23 12:00:00,+0000,,PC,61,82,70,,,5,15,,,,,,,0,0,,,,,73,,,,10,
GFSX MOS GUIDANCE,GFSX,PHKO,2020-03-21 12:00:00,2020-03-24 00:00:00,+0000,,PC,63,81,69,,,12,15,,,,,,,0,0,,,,,79,,,,13,
GFSX MOS GUIDANCE,GFSX,PHKO,2020-03-21 12:00:00,2020-03-24 12:00:00,+0000,,PC,60,81,69,,,5,12,,,,,,,0,0,,,,,72,,,,13,
GFSX MOS GUIDANCE,GFSX,PHKO,2020-03-21 12:00:00,2020-03-25 00:00:00,+0000,,CL,61,84,70,,,0,12,,,,,,,0,0,,,,,81,,,,10,
GFSX MOS GUIDANCE,GFSX,PHKO,2020-03-21 12:00:00,2020-03-25 12:00:00,+0000,,PC,59,84,70,,,3,6,,,,,,,0,0,,,,,72,,,,10,
GFSX MOS GUIDANCE,GFSX,PHKO,2020-03-21 12:00:00,2020-03-26 00:00:00,+0000,,PC,61,83,69,,,5,6,,,,,,,0,0,,,,,81,,,,16,
GFSX MOS GUIDANCE,GFSX,PHKO,2020-03-21 12:00:00,2020-03-26 12:00:00,+0000,,PC,59,83,69,,,8,8,,,,,,,0,0,,,,,72,,,,16,
